Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
Paris,"Stamford Bridge, London",2,Not Provided,5,3,3,Not Provided,5,6,58%,768,Not Provided,706,101.9 km,47,3,17,5,3,0,13
Zenit,"Stadion Petrovskiy, St Petersburg",1,Not Provided,4,5,6,Not Provided,7,6,53%,461,Not Provided,391,113.2 km,51,6,17,2,1,0,14
Benfica,"Stadion Petrovskiy, St Petersburg",2,Not Provided,9,5,2,Not Provided,7,2,47%,361,Not Provided,297,112.8 km,57,2,19,6,2,0,22
Real Madrid,"Estadio Santiago Bernabéu, Madrid",2,Not Provided,11,15,12,Not Provided,11,2,55%,622,Not Provided,557,111.8 km,61,5,10,2,1,0,7
Roma,"Estadio Santiago Bernabéu, Madrid",0,Not Provided,4,15,2,Not Provided,11,0,45%,440,Not Provided,375,113.8 km,47,3,22,12,1,0,9
Wolfsburg,"VfL Wolfsburg Arena, Wolfsburg",1,Not Provided,5,6,6,Not Provided,6,2,48%,478,Not Provided,412,117.2 km,51,2,9,1,0,0,13
Gent,"VfL Wolfsburg Arena, Wolfsburg",0,Not Provided,2,6,1,Not Provided,6,3,52%,561,Not Provided,491,113.0 km,41,1,10,6,0,0,16
PSV,"PSV Stadion, Eindhoven",0,Not Provided,1,2,2,Not Provided,1,0,49%,378,Not Provided,318,109.6 km,51,6,26,5,2,1,8
Atlético,"PSV Stadion, Eindhoven",0,Not Provided,4,2,5,Not Provided,1,1,51%,545,Not Provided,473,117.1 km,51,1,13,2,1,0,8
Dynamo Kyiv,"NSK Olimpiyskyi, Kyiv",1,Not Provided,4,6,3,Not Provided,6,2,53%,522,Not Provided,452,116.8 km,54,5,12,1,0,0,14
Man. City,"NSK Olimpiyskyi, Kyiv",3,Not Provided,6,6,1,Not Provided,6,1,47%,522,Not Provided,458,108.4 km,59,7,13,3,0,0,10
Juventus,"Juventus Stadium, Turin",2,Not Provided,7,3,2,Not Provided,3,1,36%,311,Not Provided,262,112.2 km,40,7,19,1,1,0,13
Bayern,"Juventus Stadium, Turin",2,Not Provided,5,3,1,Not Provided,3,0,64%,666,Not Provided,607,112.2 km,44,4,9,2,3,0,18
Arsenal,"Arsenal Stadium, London",0,Not Provided,2,1,4,Not Provided,1,3,35%,361,Not Provided,291,109.5 km,45,5,18,7,1,0,13
Barcelona,"Arsenal Stadium, London",2,Not Provided,5,1,7,Not Provided,1,1,65%,731,Not Provided,648,107.8 km,39,3,13,4,1,0,14
Roma,"Stadio Olimpico, Rome",0,Not Provided,1,4,5,Not Provided,7,1,40%,423,Not Provided,367,114.1 km,46,5,16,6,0,0,12
Real Madrid,"Stadio Olimpico, Rome",2,Not Provided,5,4,6,Not Provided,7,1,60%,692,Not Provided,622,109.0 km,44,3,14,5,2,0,10
Gent,"KAA Gent Stadium, Ghent",2,Not Provided,8,2,2,Not Provided,7,2,56%,576,Not Provided,488,116.4 km,51,1,7,3,1,0,12
Wolfsburg,"KAA Gent Stadium, Ghent",3,Not Provided,4,2,3,Not Provided,7,0,44%,388,Not Provided,315,118.9 km,53,1,20,2,2,0,17
Paris,"Parc des Princes, Paris",2,Not Provided,8,7,5,Not Provided,9,2,61%,688,Not Provided,622,102.8 km,49,3,8,3,3,0,16
Chelsea,"Parc des Princes, Paris",1,Not Provided,5,7,3,Not Provided,9,2,39%,371,Not Provided,319,102.9 km,46,2,22,5,2,0,15
Benfica,"Estádio do Sport Lisboa e Benfica, Lisbon",1,Not Provided,5,6,4,Not Provided,5,3,61%,526,Not Provided,454,105.6 km,50,2,17,1,4,0,14
Zenit,"Estádio do Sport Lisboa e Benfica, Lisbon",0,Not Provided,2,6,1,Not Provided,5,7,39%,262,Not Provided,208,105.8 km,55,4,23,4,4,1,12
Juventus,"Principality Stadium, Cardiff",1,11,4,3,4,0,1,3,44%,418,84%,353,107.5 km,39,4,9,7,5,1,23
Real Madrid,"Principality Stadium, Cardiff",4,18,5,3,7,0,1,1,56%,541,91%,491,103.9 km,51,6,9,4,4,0,18
Atlético,"Estadio Vicente Calderón, Madrid",2,17,7,7,3,0,7,1,40%,320,72%,230,113.1 km,53,4,14,6,4,0,23
Real Madrid,"Estadio Vicente Calderón, Madrid",1,19,6,7,6,0,7,2,60%,582,87%,505,103.4 km,47,2,23,3,2,0,7
Juventus,"Juventus Stadium, Turin",2,15,6,4,5,0,6,2,47%,411,85%,350,104.7 km,46,4,18,4,2,0,11
Monaco,"Juventus Stadium, Turin",1,11,2,4,4,0,6,3,53%,400,86%,344,100.1 km,41,4,17,5,2,0,21
Monaco,"Stade Louis II, Monaco",0,14,6,3,5,0,7,0,52%,448,85%,383,104.2 km,48,1,14,2,1,0,11
Juventus,"Stade Louis II, Monaco",2,10,5,3,2,0,7,0,48%,452,84%,378,109.0 km,49,3,19,5,3,0,13
Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,16,8,6,2,0,9,0,61%,673,91%,614,102.9 km,54,1,18,0,1,0,10
Atlético,"Estadio Santiago Bernabéu, Madrid",0,4,1,6,0,0,9,0,39%,422,85%,358,110.5 km,44,2,14,2,3,0,15
Monaco,"Stade Louis II, Monaco",3,15,9,5,1,0,5,1,37%,280,73%,205,112.0 km,49,2,30,2,0,0,15
Dortmund,"Stade Louis II, Monaco",1,12,7,5,2,1,5,2,63%,661,86%,569,112.8 km,41,9,14,1,0,0,8
Barcelona,"Camp Nou, Barcelona",0,17,1,12,4,0,13,1,61%,587,85%,499,108.4 km,55,7,7,3,2,0,10
Juventus,"Camp Nou, Barcelona",0,12,4,12,3,0,13,2,39%,329,77%,253,111.9 km,49,4,35,4,2,0,19
Leicester,"King Power Stadium, Leicester",1,21,4,8,9,0,7,1,51%,488,80%,392,110.9 km,55,2,14,0,0,0,9
Atlético,"King Power Stadium, Leicester",1,6,3,8,0,0,7,2,49%,400,75%,301,116.2 km,73,6,42,9,0,0,7
Real Madrid,"Estadio Santiago Bernabéu, Madrid",4,26,12,9,5,0,7,3,47%,638,85%,542,135.7 km,53,4,22,8,1,0,7
Bayern,"Estadio Santiago Bernabéu, Madrid",2,19,2,9,8,0,7,2,53%,692,86%,596,134.7 km,48,9,17,5,5,1,22
Bayern,"Football Arena Munich, Munich",1,11,3,5,3,0,8,3,49%,535,89%,475,108.7 km,49,11,14,4,4,1,11
Real Madrid,"Football Arena Munich, Munich",2,22,12,5,4,1,8,3,51%,589,91%,538,109.0 km,48,7,16,3,2,0,7
Atlético,"Estadio Vicente Calderón, Madrid",1,15,4,8,3,1,8,1,64%,645,86%,553,109.9 km,49,3,14,3,0,0,10
Leicester,"Estadio Vicente Calderón, Madrid",0,6,0,8,3,0,8,1,36%,289,74%,213,103.0 km,57,3,37,3,3,0,16
Dortmund,"BVB Stadion Dortmund, Dortmund",2,15,4,7,4,0,7,2,64%,642,84%,538,108.9 km,37,1,9,1,2,0,9
Monaco,"BVB Stadion Dortmund, Dortmund",3,7,2,7,1,0,7,2,36%,277,69%,190,107.8 km,48,7,32,4,5,0,9
Juventus,"Juventus Stadium, Turin",3,14,8,4,2,0,5,1,34%,280,82%,230,108.8 km,40,6,20,4,4,0,21
Barcelona,"Juventus Stadium, Turin",0,15,3,4,4,0,5,1,66%,614,91%,560,99.7 km,38,2,16,2,3,0,18
Atlético,"Estadio Vicente Calderón, Madrid",0,13,4,5,4,0,7,0,45%,420,79%,332,113.2 km,56,4,18,4,2,0,6
Leverkusen,"Estadio Vicente Calderón, Madrid",0,18,7,5,4,0,7,1,55%,548,85%,465,114.0 km,56,5,20,4,2,0,8
Monaco,"Stade Louis II, Monaco",3,8,4,1,3,0,3,1,41%,321,78%,250,106.9 km,49,6,23,1,3,0,12
Man. City,"Stade Louis II, Monaco",1,6,3,1,1,0,3,5,59%,534,85%,454,110.7 km,44,1,15,3,3,0,13
Juventus,"Juventus Stadium, Turin",1,15,3,8,4,0,4,1,62%,760,91%,693,109.5 km,41,0,6,3,1,0,13
Porto,"Juventus Stadium, Turin",0,9,2,8,3,0,4,0,38%,383,84%,323,103.0 km,48,2,19,4,2,1,11
Leicester,"King Power Stadium, Leicester",2,13,4,4,5,0,2,2,32%,199,70%,140,104.4 km,49,2,40,2,4,0,10
Sevilla,"King Power Stadium, Leicester",0,13,5,4,2,1,2,0,68%,531,86%,459,106.2 km,41,5,11,5,3,1,10
Dortmund,"BVB Stadion Dortmund, Dortmund",4,13,6,7,0,1,5,9,54%,473,88%,414,111.8 km,50,5,15,2,3,0,13
Benfica,"BVB Stadion Dortmund, Dortmund",0,5,2,7,2,0,5,1,46%,389,78%,303,107.0 km,42,4,9,0,1,0,17
Barcelona,"Camp Nou, Barcelona",6,17,7,5,5,0,6,3,65%,591,87%,514,105.8 km,56,4,7,1,5,0,16
Paris,"Camp Nou, Barcelona",1,7,3,5,1,1,6,5,35%,251,73%,183,110.4 km,42,6,24,5,5,0,25
Arsenal,"Arsenal Stadium, London",1,9,3,6,0,1,5,3,43%,423,84%,357,105.2 km,40,6,12,3,3,1,13
Bayern,"Arsenal Stadium, London",5,16,7,6,3,1,5,4,57%,577,90%,519,110.3 km,52,3,21,0,2,0,10
Napoli,"Stadio San Paolo, Naples",1,13,4,8,1,1,9,3,51%,632,87%,548,117.8 km,68,0,7,4,2,0,17
Real Madrid,"Stadio San Paolo, Naples",3,13,5,8,4,1,9,4,49%,522,84%,438,109.1 km,66,5,18,1,0,0,8
Porto,"Estádio do Dragão, Porto",0,3,0,3,0,0,1,1,31%,227,79%,180,101.4 km,28,3,21,3,5,1,12
Juventus,"Estádio do Dragão, Porto",2,18,4,3,3,1,1,1,69%,762,93%,705,112.4 km,36,3,5,0,1,0,13
Sevilla,"Estadio Ramón Sánchez-Pizjuán, Seville",2,22,8,10,4,2,8,0,68%,663,90%,594,110.8 km,39,4,12,3,2,0,6
Leicester,"Estadio Ramón Sánchez-Pizjuán, Seville",1,8,3,10,3,0,8,0,32%,239,73%,175,106.6 km,48,3,17,4,0,0,9
Leverkusen,"BayArena, Leverkusen",2,14,3,3,8,0,6,1,59%,550,80%,439,110.2 km,64,5,18,1,4,0,14
Atlético,"BayArena, Leverkusen",4,10,7,3,1,1,6,4,41%,326,70%,229,115.8 km,57,2,20,8,3,0,9
Man. City,"City of Manchester Stadium, Manchester",5,8,6,0,2,0,5,3,61%,590,87%,516,106.3 km,43,5,15,2,4,0,12
Monaco,"City of Manchester Stadium, Manchester",3,15,6,0,2,0,5,5,39%,275,81%,224,102.0 km,42,5,20,2,6,0,15
Bayern,"Football Arena Munich, Munich",5,24,11,6,7,1,9,3,68%,793,92%,726,109.5 km,55,1,7,1,2,0,12
Arsenal,"Football Arena Munich, Munich",1,8,5,6,1,0,9,2,32%,277,79%,218,108.1 km,46,4,22,7,3,0,11
Real Madrid,"Estadio Santiago Bernabéu, Madrid",3,20,5,12,3,1,5,7,54%,594,90%,535,106.5 km,58,2,7,2,2,0,9
Napoli,"Estadio Santiago Bernabéu, Madrid",1,8,2,12,2,0,5,1,46%,622,88%,550,116.3 km,48,2,12,3,2,0,12
Benfica,"Estádio do Sport Lisboa e Benfica, Lisbon",1,4,1,1,2,0,3,2,35%,283,75%,212,110.7 km,50,2,22,2,1,0,15
Dortmund,"Estádio do Sport Lisboa e Benfica, Lisbon",0,14,4,1,3,0,3,8,65%,673,88%,590,110.4 km,54,4,3,2,3,0,10
Paris,"Parc des Princes, Paris",4,16,10,2,4,0,2,0,43%,426,89%,378,113.3 km,48,8,19,1,1,0,14
Barcelona,"Parc des Princes, Paris",0,6,1,2,1,1,2,3,57%,580,90%,522,105.1 km,37,5,9,4,3,0,11
Real Madrid,"NSK Olimpiyskyi, Kyiv",3,12,5,6,1,1,9,7,61%,648,91%,590,102.6 km,49,2,16,7,0,0,5
Liverpool,"NSK Olimpiyskyi, Kyiv",1,12,2,6,7,1,9,3,39%,351,80%,280,110.7 km,43,10,14,1,1,0,18
Roma,"Stadio Olimpico, Rome",4,23,6,14,3,1,7,3,58%,530,84%,446,113.7 km,45,3,8,5,2,0,10
Liverpool,"Stadio Olimpico, Rome",2,11,5,14,5,0,7,5,42%,356,74%,262,115.2 km,45,1,26,3,3,0,14
Real Madrid,"Estadio Santiago Bernabéu, Madrid",2,9,3,5,1,0,6,3,44%,400,84%,334,113.9 km,41,2,27,7,4,0,10
