Player,Team,Goals,Shots,Shots_Target,Assists,Fouls,Interceptions,Crosses,Time
"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,75.6953883171082
Pavard,Bayern,0,0.555155657231808,0,0,0.884667277336121,1.53559583425522,0,74.2663961648941
Thiago Alcántara,Bayern,0,0.800114169716835,0.255945712327957,0,0.945993572473526,1.2944622784853,1.46543988958001,69.0569913387299
Lewandowski,Bayern,1,1.1466788649559,0.400879859924316,0,0.948556110262871,1.09874247759581,1.24287977814674,71.9750693440437
Boateng,Bayern,1,1.50948277115822,0.505144834518433,0,0.9818185120821,0.909922666847706,1.8441641703248,72.321600317955
Davies,Bayern,0,1.26103165745735,0.501211583614349,0,0.945356354117394,0.80873529613018,1.47456331178546,70.5935037136078
Gnabry,Bayern,0,1.01808321475983,0.405882507562637,0,0.872723110020161,0.924411326646805,1.77217181771994,70.3800877928734
Müller,Bayern,0,1.05234467983246,0.337860882282257,0,0.97624272108078,0.984097540378571,1.769177056849,71.5053486824036
Alaba,Bayern,0,0.854526974260807,0.298961877822876,0,1.0083379149437,1.24961394071579,1.40488399192691,73.6017668247223
Coman,Bayern,0,0.757824838161469,0.238723278045654,0,0.876229271292686,1.25273467600346,1.29141099750996,72.4646133184433
Kimmich,Bayern,0,0.658197589218617,0.25532191991806,0,0.800373792648315,1.33657343685627,1.06794387102127,68.8674703240395
"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,13.0337501689792
Odriozola,Bayern,0,0.227477174252272,0,0,0.593372955918312,0.89277321100235,0,39.9284154176712
Coutinho,Bayern,0,0.501864790916443,0.209780216217041,0,0.614471517503262,0.57365807145834,0,35.7702493667603
Goretzka,Bayern,0,0.655508056282997,0,0,0.527108140289784,0.458562579005957,0,32.7689024806023
Hernández,Bayern,0,0,0,0,0.417358256876469,0.296036159619689,0,26.8295411765575
Tolisso,Bayern,0,0,0.103867620229721,0,0.503827556967735,0.474068850278854,0,30.7432436943054
Zirkzee,Bayern,0,0,0.056529730558395,0,0.389729876071215,0.279506601393223,0,22.5617745518684
"Caballero

 (GK)",Chelsea,0,0,0,0,0,0,0,78.5598433017731
Rüdiger,Chelsea,0,0.412544175982475,0,0,0.962228924036026,1.39231492578983,0.832359306514263,73.4030812978745
Alonso,Chelsea,0,0.90901592373848,0.303375899791718,0,0.838231280446053,1.41166204214096,1.081014983356,71.302036345005
A. Christensen,Chelsea,0,1.25330148637295,0.390044867992401,0,1.02686397731304,1.24224179983139,1.52765950188041,72.8503796458244
Jorginho,Chelsea,1,1.62834313511848,0.52894538640976,0.107183586806059,0.96298286318779,0.824985608458519,1.49320084601641,74.8301473259926
Barkley,Chelsea,0,1.36775431036949,0.574395179748535,0,1.11422798037529,0.756130360066891,1.35304694995284,72.5067138671875
Kovačić,Chelsea,0,1.10190773010254,0.449502050876617,0,0.964050874114037,0.973910853266716,1.73124112188816,72.4919766187668
Giroud,Chelsea,0,1.00521868467331,0.296012669801712,0,0.977442264556885,1.10715669393539,1.64018180221319,71.534871160984
Mount,Chelsea,0,0.872689679265022,0.35929137468338,0,1.25314116477966,1.29469642788172,1.59976128488779,77.6605695486069
James,Chelsea,0,0.820875555276871,0.296432435512543,0,1.03480120003223,1.28087112307549,0,74.5441555976868
Azpilicueta,Chelsea,0,0.651123829185963,0.248899459838867,0,0.918133392930031,1.22593559324741,1.17835393175483,69.320849776268
"Kepa

 (GK)",Chelsea,0,0,0,0,0,0,0,0
Abraham,Chelsea,0,0,0.116212263703346,0,0.458628185093403,0.628602206707001,0,33.0029402673244
Willian,Chelsea,0,0.709235712885857,0.257854700088501,0,0.475822441279888,0.426552873104811,0,35.1775069534779
Pedro Rodríguez,Chelsea,0,0,0.119590252637863,0,0.540953323245049,0.558661323040724,0.697009870782494,34.0238511562347
Zouma,Chelsea,0,0,0.17613822221756,0,0.500712029635906,0,0,31.5525825321674
Emerson,Chelsea,0,0,0.173843443393707,0,0.471790306270123,0,0,28.0462792515755
Gilmour,Chelsea,0,0,0,0,0,0,0,19.2265775799751
"Szczęsny

 (GK)",Juventus,0,0,0,0,0,0,0,75.5252724885941
De Ligt,Juventus,0,0.551984950900078,0,0,0.881092429161072,1.53325761854649,0,74.2121013998985
Pjanić,Juventus,0,0.799343436956405,0.255594342947006,0,0.94166374206543,1.28805189579725,1.46878939121962,68.9311558008194
Ronaldo,Juventus,1,1.14905771613121,0.401904582977295,0,0.948913052678108,1.09955687820911,1.23083340004087,71.911438703537
Dybala,Juventus,1,1.50910893082619,0.50352543592453,0,0.98035204410553,0.910094857215881,1.84747837483883,72.174508869648
Alex Sandro,Juventus,0,1.24990281462669,0.497637987136841,0,0.941315978765488,0.805874034762383,1.47530110552907,70.5594778060913
Danilo,Juventus,0,1.01928713917732,0.406385958194733,0,0.87088655680418,0.921771183609962,1.7656285315752,70.2987724542618
Cuadrado,Juventus,0,1.04660314321518,0.33678412437439,0,0.972131937742233,0.982236638665199,1.77775975316763,71.4185565710068
Bonucci,Juventus,0,0.853997871279717,0.29938879609108,0,1.00714901089668,1.24848163127899,1.39999641105533,73.4990721940994
Rabiot,Juventus,0,0.76060626655817,0.239782124757767,0,0.877441644668579,1.25121971219778,1.29956137388945,72.3750039935112
Bentancur,Juventus,0,0.663312911987305,0.256831556558609,0,0.799153074622154,1.33029164373875,1.06622958555818,68.8110437989235
"Buffon

 (GK)",Juventus,0,0,0,0,0,0,0,13.2217229157686
De Sciglio,Juventus,0,0.228335864841938,0,0,0.59454371035099,0.894239984452724,0,40.0686112046242
Ramsey,Juventus,0,0.502680949866772,0.209387913346291,0,0.615277662873268,0.579221475869417,0,35.8423316478729
Matuidi,Juventus,0,0.655528396368027,0,0,0.52844500541687,0.46210416033864,0,32.8535422682762
Higuaín,Juventus,0,0,0,0,0.418430387973785,0.287796694785357,0,26.8551925569773
Rugani,Juventus,0,0,0.105722188949585,0,0.503992572426796,0.47239276021719,0,30.7299664616585
Bernardeschi,Juventus,0,0,0.061633806675673,0,0.39534817263484,0.291910536587238,0,22.780182287097
"Lopes

 (GK)",Lyon,0,0,0,0,0,0,0,78.4524670243263
Denayer,Lyon,0,0.399559065699577,0,0,0.961319357156754,1.38971674442291,0.824328698217869,73.2655245065689
Marcelo,Lyon,0,0.906758904457092,0.306316822767258,0,0.841055005788803,1.40537533164024,1.08302477747202,71.2163957953453
Aouar,Lyon,0,1.25112822651863,0.38748961687088,0,1.02836622297764,1.2435198277235,1.52028296142817,72.7637657523155
Dembélé,Lyon,0,1.62833875417709,0.529013276100159,0.104541152715683,0.962623625993728,0.822277031838894,1.49633921682835,74.7776073217392
Dubois,Lyon,0,1.36652441322804,0.573552846908569,0,1.11418886482716,0.758328840136528,1.36114824563265,72.5234526395798
Marçal,Lyon,0,1.09887872636318,0.448119938373566,0,0.963801681995392,0.972688145935535,1.72313041985035,72.413272857666
Ekambi,Lyon,0,1.007753059268,0.294208884239197,0,0.97832179069519,1.10934386402369,1.63600780069828,71.4325466752052
Cornet,Lyon,0,0.872037127614021,0.359441548585892,0,1.24658477306366,1.28734961152077,1.60482749342918,77.6238498091698
Tousart,Lyon,0,0.827961206436157,0.295121192932129,0,1.03215208649635,1.28000222146511,0,74.5140093564987
Bruno Guimarães,Lyon,0,0.650537773966789,0.247780293226242,0,0.918745160102844,1.21951676905155,1.17165809497237,69.1240355372429
"Tătăruşanu

 (GK)",Lyon,0,0,0,0,0,0,0,0
Andersen,Lyon,0,0,0.117444485425949,0,0.454657591879368,0.627763383090496,0,33.0295872688293
