,Unnamed: 0,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London",Home_game
120,120,Juventus,0.285714285714286,0.378378378378378,0.461538461538462,0.266666666666667,0.416666666666667,0,0.461538461538462,0.222222222222222,0.431818181818182,0.260259179265659,0.694901558961182,0.255605381165919,0.154929577464789,0.360655737704918,0.363636363636364,0.384615384615385,0.333333333333333,0.25,0,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,121,Monaco,0.142857142857143,0.243243243243243,0.153846153846154,0.266666666666667,0.333333333333333,0,0.461538461538462,0.333333333333333,0.568181818181818,0.248380129589633,0.728030865113518,0.248878923766816,0.082942097026604,0.278688524590164,0.363636363636364,0.358974358974359,0.416666666666667,0.25,0,0.782608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,Monaco,0,0.351351351351351,0.461538461538462,0.2,0.416666666666667,0,0.538461538461538,0,0.545454545454546,0.300215982721382,0.708002988997942,0.292600896860987,0.147104851330204,0.39344262295082,0.090909090909091,0.282051282051282,0.166666666666667,0.125,0,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
123,123,Juventus,0.285714285714286,0.243243243243243,0.384615384615385,0.2,0.166666666666667,0,0.538461538461538,0,0.454545454545454,0.304535637149028,0.63469803954527,0.286995515695067,0.222222222222222,0.40983606557377,0.272727272727273,0.41025641025641,0.416666666666667,0.375,0,0.434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,124,Real Madrid,0.428571428571429,0.405405405405405,0.615384615384615,0.4,0.166666666666667,0,0.692307692307692,0,0.75,0.543196544276458,0.933976385930337,0.551569506726457,0.126760563380282,0.491803278688525,0.090909090909091,0.384615384615385,0,0.125,0,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,125,Atlético,0,0.162162162162162,0.076923076923077,0.4,0,0,0.692307692307692,0,0.25,0.272138228941685,0.682150093288763,0.26457399103139,0.245696400625978,0.327868852459016,0.181818181818182,0.282051282051282,0.166666666666667,0.375,0,0.521739130434783,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,Monaco,0.428571428571429,0.378378378378378,0.692307692307692,0.333333333333333,0.083333333333333,0,0.384615384615385,0.111111111111111,0.204545454545455,0.118790496760259,0.224874398490662,0.09304932735426,0.269170579029734,0.40983606557377,0.181818181818182,0.692307692307692,0.166666666666667,0,0,0.521739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
127,127,Dortmund,0.142857142857143,0.351351351351351,0.538461538461538,0.333333333333333,0.166666666666667,0.333333333333333,0.384615384615385,0.222222222222222,0.795454545454546,0.530237580993521,0.731245786544285,0.501121076233184,0.28169014084507,0.278688524590164,0.818181818181818,0.282051282051282,0.083333333333333,0,0,0.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,128,Barcelona,0,0.432432432432432,0.076923076923077,0.8,0.333333333333333,0,1,0.111111111111111,0.75,0.450323974082073,0.689013049975062,0.422645739910314,0.21283255086072,0.508196721311475,0.636363636363636,0.102564102564103,0.25,0.25,0,0.304347826086957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,129,Juventus,0,0.486486486486487,0.307692307692308,0.8,0.25,0,1,0.222222222222222,0.25,0.17170626349892,0.369906424112963,0.146860986547085,0.267605633802817,0.40983606557377,0.363636363636364,0.82051282051282,0.333333333333333,0.25,0,0.695652173913043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
