Players,Embeddings
"('Pepe', 'Real Madrid')","[0.78547009 0.01098901 0.01923077 0.         0.         0.00452489
 0.08461538 0.06593407 0.01098901]"
"('Fábio Coentrão', 'Real Madrid')","[0.41111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Hernández', 'Real Madrid')","[0.33777778 0.         0.         0.2        0.         0.
 0.         0.         0.        ]"
"('Arbeloa', 'Real Madrid')","[0.18148148 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Jesé', 'Real Madrid')","[0.15726496 0.03296703 0.03846154 0.07692308 0.         0.00904977
 0.01538462 0.05494505 0.        ]"
"('Illarramendi', 'Real Madrid')","[0.00925926 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Carlo Ancelotti', 'Real Madrid(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Chiellini', 'Juventus')","[0.94736842 0.01503759 0.02631579 0.05263158 0.         0.01857585
 0.11578947 0.12781955 0.        ]"
"('Neuer\n (GK)', 'Bayern')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Xabi Alonso', 'Bayern')","[0.80222222 0.01428571 0.05       0.13333333 0.02222222 0.08627451
 0.04666667 0.07619048 0.        ]"
"('Benatia', 'Bayern')","[0.47222222 0.02380952 0.04166667 0.16666667 0.         0.
 0.03333333 0.         0.        ]"
"('Thiago Alcántara', 'Bayern')","[0.86666667 0.04761905 0.07142857 0.28571429 0.04761905 0.04481793
 0.11904762 0.10884354 0.01360544]"
"('Lewandowski', 'Bayern')","[0.90338164 0.16149068 0.2173913  0.39130435 0.02898551 0.02813299
 0.03913043 0.18012422 0.09937888]"
"('Rafinha', 'Bayern')","[0.55603865 0.00621118 0.01086957 0.         0.02898551 0.03069054
 0.06086957 0.03726708 0.00621118]"
"('Boateng', 'Bayern')","[0.89185185 0.01904762 0.         0.13333333 0.04444444 0.00784314
 0.04666667 0.04761905 0.        ]"
"('Bernat', 'Bayern')","[0.64795322 0.01879699 0.01315789 0.         0.03508772 0.03095975
 0.00526316 0.04511278 0.        ]"
"('Lahm', 'Bayern')","[0.91111111 0.01530612 0.         0.         0.02380952 0.11344538
 0.09285714 0.06122449 0.        ]"
"('Müller', 'Bayern')","[0.81060606 0.10714286 0.15909091 0.36363636 0.07575758 0.10427807
 0.03636364 0.11688312 0.03246753]"
"('Schweinsteiger', 'Bayern')","[0.79333333 0.         0.         0.         0.2        0.
 0.         0.         0.        ]"
"('Reina\n (GK)', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Dante', 'Bayern')","[0.20925926 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Javi Martínez', 'Bayern')","[0.82352941 0.06302521 0.08823529 0.         0.01960784 0.00692042
 0.17058824 0.17647059 0.00840336]"
"('Pizarro', 'Bayern')","[0.         0.         0.         0.         0.06666667 0.
 0.         0.         0.        ]"
"('Götze', 'Bayern')","[0.30185185 0.         0.         0.08333333 0.         0.
 0.         0.         0.        ]"
"('Rode', 'Bayern')","[0.20138889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Weiser', 'Bayern')","[0.00888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Josep Guardiola', 'Bayern(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Vermaelen', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Gaudino', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Pepe', 'Juventus')",[0.275 0.    0.    0.    0.    0.    0.    0.    0.   ]
"('Matri', 'Juventus')","[0.05277778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Lucas Silva', 'Real Madrid')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Khedira', 'Real Madrid')","[0.21481481 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Nacho', 'Real Madrid')","[0.3251462  0.01503759 0.         0.         0.         0.0123839
 0.08947368 0.04511278 0.        ]"
"('Oblak\n (GK)', 'Atlético')","[0.84210526 0.         0.         0.         0.         0.
 0.01052632 0.         0.        ]"
