Players,Embeddings
"('Monreal', 'Arsenal')","[0.82037037 0.         0.         0.         0.         0.04901961
 0.11666667 0.0952381  0.        ]"
"('Santi Cazorla', 'Arsenal')","[0.95555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Welbeck', 'Arsenal')","[0.76222222 0.07142857 0.         0.         0.         0.
 0.02       0.02857143 0.        ]"
"('Coquelin', 'Arsenal')","[0.6537037  0.         0.         0.         0.         0.00980392
 0.1        0.0952381  0.        ]"
"('Bellerín', 'Arsenal')","[1.         0.03571429 0.04166667 0.         0.         0.08823529
 0.16666667 0.04761905 0.        ]"
"('Szczęsny\n (GK)', 'Arsenal')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Gibbs', 'Arsenal')","[0.51296296 0.         0.         0.         0.         0.
 0.01666667 0.02380952 0.        ]"
"('Gabriel', 'Arsenal')",[0.6  0.   0.   0.   0.   0.   0.14 0.   0.  ]
"('Walcott', 'Arsenal')","[0.52777778 0.07142857 0.04166667 0.16666667 0.         0.03921569
 0.1        0.02380952 0.04761905]"
"('Ramsey', 'Arsenal')","[0.7        0.0952381  0.08333333 0.33333333 0.         0.01960784
 0.06666667 0.0952381  0.        ]"
"('Flamini', 'Arsenal')","[0.1962963  0.02380952 0.         0.         0.         0.
 0.1        0.14285714 0.        ]"
"('Chambers', 'Arsenal')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Arsène Wenger', 'Arsenal(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ribéry', 'Bayern')","[0.72982456 0.09022556 0.09210526 0.05263158 0.01754386 0.19814241
 0.05789474 0.09774436 0.03007519]"
"('Robben', 'Bayern')","[0.82424242 0.15584416 0.20454545 0.27272727 0.         0.15508021
 0.01818182 0.03896104 0.03896104]"
"('Alaba', 'Bayern')","[1.         0.09243697 0.07352941 0.         0.03921569 0.15570934
 0.14117647 0.05042017 0.01680672]"
"('Pyatov\n (GK)', 'Shakhtar Donetsk')",[1.    0.    0.    0.    0.    0.    0.025 0.    0.   ]
"('Kucher', 'Shakhtar Donetsk')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Stepanenko', 'Shakhtar Donetsk')","[0.94074074 0.04761905 0.08333333 0.         0.         0.
 0.1        0.19047619 0.        ]"
"('Fred', 'Shakhtar Donetsk')","[1.         0.07142857 0.125      0.25       0.         0.
 0.05       0.10714286 0.        ]"
"('Luiz Adriano', 'Shakhtar Donetsk')","[0.99444444 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Shevchuk', 'Shakhtar Donetsk')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Douglas Costa', 'Shakhtar Donetsk')","[0.87222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Taison', 'Shakhtar Donetsk')","[0.75833333 0.05357143 0.125      0.         0.         0.02941176
 0.025      0.03571429 0.        ]"
"('Alex Teixeira', 'Shakhtar Donetsk')","[0.88888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Srna', 'Shakhtar Donetsk')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"(""Rakits'kyy"", 'Shakhtar Donetsk')","[1.         0.         0.         0.         0.08333333 0.01470588
 0.075      0.         0.        ]"
"('Kanibolotskiy\n (GK)', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Wellington Nem', 'Shakhtar Donetsk')","[0.09444444 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Fernando', 'Shakhtar Donetsk')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Gladkiy', 'Shakhtar Donetsk')","[0.00555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Kryvtsov', 'Shakhtar Donetsk')","[0.63333333 0.         0.         0.         0.         0.
 0.06666667 0.         0.        ]"
"('Ilsinho', 'Shakhtar Donetsk')","[0.11111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Dentinho', 'Shakhtar Donetsk')","[0.02962963 0.         0.         0.         0.         0.
 0.         0.         0.04761905]"
"('Mircea Lucescu', 'Shakhtar Donetsk(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Courtois\n (GK)', 'Chelsea')","[1.         0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Ivanović', 'Chelsea')","[1.         0.01785714 0.         0.25       0.         0.01470588
 0.05       0.10714286 0.03571429]"
"('Fàbregas', 'Chelsea')","[0.97777778 0.03571429 0.         0.         0.         0.02941176
 0.16666667 0.14285714 0.        ]"
"('Ramires', 'Chelsea')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Oscar', 'Chelsea')","[0.23333333 0.01785714 0.0625     0.         0.         0.
 0.025      0.03571429 0.        ]"
"('E. Hazard', 'Chelsea')","[0.92592593 0.10714286 0.08333333 0.16666667 0.05555556 0.04901961
 0.1        0.07142857 0.02380952]"
"('Diego Costa', 'Chelsea')","[0.89166667 0.125      0.375      0.25       0.16666667 0.01470588
 0.025      0.14285714 0.10714286]"
"('Matić', 'Chelsea')","[0.64444444 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Cahill', 'Chelsea')","[0.66666667 0.         0.         0.16666667 0.05555556 0.
 0.05       0.04761905 0.        ]"
"('Terry', 'Chelsea')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Azpilicueta', 'Chelsea')","[1.         0.01190476 0.         0.         0.         0.02941176
 0.2        0.11904762 0.        ]"
"('Čech\n (GK)', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Filipe Luís', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zouma', 'Chelsea')","[0.03333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Drogba', 'Chelsea')","[0.02222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Rémy', 'Chelsea')",[0.025 0.    0.    0.    0.    0.    0.    0.    0.   ]
"('Willian', 'Chelsea')","[0.89444444 0.11904762 0.125      0.16666667 0.05555556 0.18627451
 0.         0.14285714 0.        ]"
"('Cuadrado', 'Chelsea')","[0.06111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('José Mourinho', 'Chelsea(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Thiago Motta', 'Paris')","[0.85740741 0.03571429 0.         0.         0.05555556 0.
 0.03333333 0.11904762 0.        ]"
"('Wellenreuther\n (GK)', 'Schalke')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Höwedes', 'Schalke')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Meyer', 'Schalke')","[0.55555556 0.         0.         0.         0.16666667 0.
 0.         0.         0.        ]"
"('Höger', 'Schalke')","[0.76111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Choupo-Moting', 'Schalke')","[0.66111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Fuchs', 'Schalke')","[0.5        0.         0.         0.5        0.16666667 0.
 0.         0.         0.        ]"
"('Huntelaar', 'Schalke')","[0.68333333 0.         0.         0.5        0.         0.
 0.         0.         0.        ]"
"('Barnetta', 'Schalke')","[0.45       0.         0.         0.         0.16666667 0.
 0.         0.         0.        ]"
"('Nastasić', 'Schalke')","[1.         0.         0.         0.         0.         0.
 0.03333333 0.         0.        ]"
"('Matip', 'Schalke')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Neustädter', 'Schalke')","[0.81666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Wetklo\n (GK)', 'Schalke')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Goretzka', 'Schalke')","[0.36666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Sané', 'Schalke')","[0.6037037  0.02380952 0.08333333 0.66666667 0.         0.
 0.06666667 0.0952381  0.        ]"
"('Uchida', 'Schalke')",[0.55 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Kaan Ayhan', 'Schalke')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sobottka', 'Schalke')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kehrer', 'Schalke')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Roberto Di Matteo', 'Schalke(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Tello', 'Porto')",[0.95 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Gonçalo Paciência', 'Porto')","[0.0962963  0.         0.         0.         0.         0.
 0.         0.0952381  0.04761905]"
"('Vaclík\n (GK)', 'Basel')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Samuel', 'Basel')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zuffi', 'Basel')",[0.75  0.    0.    0.    0.    0.    0.025 0.    0.   ]
"('Streller', 'Basel')",[0.85 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Gashi', 'Basel')","[0.88888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Schär', 'Basel')","[0.63333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Safari', 'Basel')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('F. Frei', 'Basel')","[0.925      0.         0.         0.         0.08333333 0.
 0.2        0.07142857 0.        ]"
"('González', 'Basel')","[0.63888889 0.         0.         0.5        0.         0.
 0.         0.         0.        ]"
"('Elneny', 'Basel')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Xhaka', 'Basel')","[1.         0.         0.         0.         0.         0.03921569
 0.06666667 0.0952381  0.        ]"
"('Vailati\n (GK)', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Traoré', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('P. Degen', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Arlind Ajeti', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kakitani', 'Basel')",[0.3 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Embolo', 'Basel')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Callà', 'Basel')","[0.43333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Paulo Sousa', 'Basel(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Donati', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rosický', 'Arsenal')","[0.08888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Oxlade-Chamberlain', 'Arsenal')","[0.7        0.01785714 0.0625     0.25       0.         0.08823529
 0.075      0.14285714 0.07142857]"
"('Traoré', 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Diallo', 'Monaco')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Cáceres', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Nuri Şahin', 'Dortmund')","[0.66666667 0.02380952 0.         0.         0.11111111 0.03921569
 0.1        0.0952381  0.        ]"
"('Piszczek', 'Dortmund')","[0.87111111 0.07142857 0.05       0.         0.06666667 0.07058824
 0.14       0.11428571 0.        ]"
"('Ginter', 'Dortmund')","[0.53333333 0.01428571 0.05       0.         0.         0.02352941
 0.06       0.02857143 0.        ]"
"('Clichy', 'Man. City')","[0.99166667 0.         0.         0.         0.         0.10294118
 0.3        0.16071429 0.01785714]"
"('Mangala', 'Man. City')","[0.54444444 0.         0.         0.         0.         0.
 0.04285714 0.04081633 0.02040816]"
"('Boateng', 'Schalke')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Aogo', 'Schalke')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kirchhoff', 'Schalke')","[0.36666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Platte', 'Schalke')","[0.63333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Medrán', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Suchý', 'Basel')","[1.         0.         0.         0.         0.         0.
 0.23333333 0.14285714 0.        ]"
"('Delgado', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hamoudi', 'Basel')","[0.07777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Marlos', 'Shakhtar Donetsk')","[0.68148148 0.07142857 0.08333333 0.         0.         0.15686275
 0.03333333 0.0952381  0.        ]"
"('Azevedo', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Starke\n (GK)', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Casemiro', 'Real Madrid')","[0.87575758 0.05519481 0.06818182 0.13636364 0.03030303 0.00534759
 0.21363636 0.18831169 0.00649351]"
"('Casilla\n (GK)', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lucas Vázquez', 'Real Madrid')","[0.34973545 0.02380952 0.02380952 0.         0.04761905 0.04761905
 0.02380952 0.08843537 0.01360544]"
"('Danilo', 'Real Madrid')","[0.28518519 0.00595238 0.         0.         0.         0.04411765
 0.075      0.04761905 0.        ]"
"('Zinédine Zidane', 'Real Madrid(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Filipe Luís', 'Atlético')","[0.91709402 0.01648352 0.01923077 0.         0.02564103 0.16742081
 0.18461538 0.10989011 0.        ]"
"('Fernández', 'Atlético')","[0.57936508 0.03061224 0.03571429 0.         0.         0.00840336
 0.1        0.08163265 0.        ]"
"('Savić', 'Atlético')","[0.63162393 0.01648352 0.         0.         0.         0.
 0.08461538 0.05494505 0.        ]"
"('Correa', 'Atlético')","[0.16666667 0.02857143 0.03333333 0.         0.         0.01960784
 0.00666667 0.04761905 0.        ]"
"('Carrasco', 'Atlético')","[0.73838384 0.03896104 0.02272727 0.09090909 0.         0.07486631
 0.01818182 0.02597403 0.05194805]"
"('Thomas', 'Atlético')","[0.2462963  0.00595238 0.02083333 0.         0.         0.01470588
 0.03333333 0.04761905 0.01190476]"
"('Kovačić', 'Real Madrid')","[0.13986928 0.00420168 0.         0.         0.         0.00346021
 0.03529412 0.05882353 0.        ]"
"('Mayoral', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('De Bruyne', 'Man. City')","[0.80512821 0.12637363 0.21153846 0.15384615 0.1025641  0.28959276
 0.09230769 0.08791209 0.        ]"
"('Otamendi', 'Man. City')","[0.75111111 0.02857143 0.         0.         0.         0.
 0.18       0.13333333 0.00952381]"
"('Sterling', 'Man. City')","[0.73675214 0.08791209 0.17307692 0.30769231 0.1025641  0.09049774
 0.06153846 0.0989011  0.0989011 ]"
"('Delph', 'Man. City')","[0.21616162 0.00649351 0.         0.         0.         0.00534759
 0.02727273 0.02597403 0.        ]"
"('Iheanacho', 'Man. City')","[0.12222222 0.         0.         0.         0.         0.00840336
 0.01428571 0.         0.        ]"
"('Douglas Costa', 'Bayern')","[0.71444444 0.14285714 0.1        0.1        0.1        0.37647059
 0.05       0.15714286 0.01428571]"
"('Vidal', 'Bayern')","[0.94786325 0.21978022 0.32692308 0.30769231 0.05128205 0.02262443
 0.23846154 0.35164835 0.01098901]"
"('Ulreich\n (GK)', 'Bayern')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Tasci', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Coman', 'Bayern')","[0.28290598 0.06593407 0.09615385 0.15384615 0.02564103 0.08144796
 0.02307692 0.07692308 0.01098901]"
"('Kimmich', 'Bayern')","[0.58104575 0.02521008 0.02941176 0.11764706 0.01960784 0.1349481
 0.08823529 0.05042017 0.01680672]"
"('Vietto', 'Atlético')","[0.11296296 0.01190476 0.04166667 0.         0.         0.
 0.         0.         0.02380952]"
"('Kranevitter', 'Atlético')","[0.03333333 0.1        0.1        0.         0.06666667 0.10588235
 0.18       0.2        0.08571429]"
"('Ederson\n (GK)', 'Benfica')","[0.83333333 0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Fejsa', 'Benfica')","[1.         0.         0.         0.         0.         0.
 0.175      0.35714286 0.        ]"
"('Jiménez', 'Benfica')","[0.33888889 0.03571429 0.125      0.16666667 0.         0.01960784
 0.01666667 0.0952381  0.        ]"
"('Lindelöf', 'Benfica')","[1.         0.02380952 0.04166667 0.         0.         0.00980392
 0.16666667 0.07142857 0.        ]"
"('Salvio', 'Benfica')","[0.54666667 0.04285714 0.         0.         0.         0.07058824
 0.08       0.11428571 0.05714286]"
"('Eliseu', 'Benfica')","[0.9962963  0.07142857 0.04166667 0.         0.05555556 0.05882353
 0.08333333 0.11904762 0.        ]"
"('Pizzi', 'Benfica')","[0.87407407 0.02380952 0.04166667 0.         0.         0.26470588
 0.1        0.14285714 0.0952381 ]"
"('Jardel', 'Benfica')","[0.6        0.01428571 0.         0.         0.         0.
 0.18       0.11428571 0.        ]"
"('André Almeida', 'Benfica')","[0.8        0.04285714 0.05       0.         0.         0.14117647
 0.12       0.34285714 0.        ]"
"('Carcela', 'Benfica')","[0.60555556 0.03571429 0.         0.         0.         0.11764706
 0.05       0.14285714 0.        ]"
"('Renato Sanches', 'Benfica')","[1.         0.05357143 0.         0.         0.         0.04411765
 0.15       0.21428571 0.        ]"
"('Paulo Lopes\n (GK)', 'Benfica')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Luisão', 'Benfica')","[0.66666667 0.07142857 0.08333333 0.         0.11111111 0.
 0.23333333 0.04761905 0.        ]"
"('Samaris', 'Benfica')","[0.47037037 0.01190476 0.04166667 0.         0.         0.
 0.13333333 0.14285714 0.        ]"
"('Gonçalo Guedes', 'Benfica')","[0.11851852 0.02380952 0.         0.         0.         0.
 0.03333333 0.04761905 0.        ]"
"('Talisca', 'Benfica')","[0.06111111 0.05357143 0.125      0.5        0.         0.
 0.         0.         0.        ]"
"('Jović', 'Benfica')","[0.02222222 0.07142857 0.25       0.         0.         0.
 0.         0.         0.        ]"
"('Semedo', 'Benfica')","[0.5        0.02380952 0.04166667 0.         0.         0.02941176
 0.13333333 0.19047619 0.        ]"
"('Rui Vitória', 'Benfica(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Douglas', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Arda Turan', 'Barcelona')","[0.19722222 0.03571429 0.         0.         0.         0.07352941
 0.025      0.03571429 0.        ]"
"('Munir', 'Barcelona')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Benaglio\n (GK)', 'Wolfsburg')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Vieirinha', 'Wolfsburg')","[0.74166667 0.07142857 0.0625     0.         0.08333333 0.11764706
 0.1        0.17857143 0.        ]"
"('Draxler', 'Wolfsburg')","[0.80555556 0.125      0.125      0.25       0.08333333 0.10294118
 0.1        0.17857143 0.        ]"
"('Henrique', 'Wolfsburg')","[0.425      0.07142857 0.125      0.         0.08333333 0.02941176
 0.05       0.10714286 0.03571429]"
"('Schürrle', 'Wolfsburg')","[0.73333333 0.16071429 0.125      0.25       0.         0.04411765
 0.025      0.17857143 0.03571429]"
"('Dante', 'Wolfsburg')","[1.         0.03571429 0.0625     0.         0.         0.01470588
 0.2        0.07142857 0.03571429]"
"('Luiz Gustavo', 'Wolfsburg')","[1.         0.10714286 0.1875     0.         0.         0.
 0.2        0.32142857 0.        ]"
"('Guilavogui', 'Wolfsburg')","[0.96296296 0.07142857 0.08333333 0.         0.         0.03921569
 0.23333333 0.23809524 0.        ]"
"('Naldo', 'Wolfsburg')","[1.         0.         0.         0.         0.         0.
 0.2        0.07142857 0.07142857]"
"('Arnold', 'Wolfsburg')","[0.98055556 0.05357143 0.0625     0.25       0.         0.04411765
 0.05       0.25       0.        ]"
"('Rodríguez', 'Wolfsburg')","[1.         0.05357143 0.0625     0.25       0.         0.14705882
 0.175      0.17857143 0.03571429]"
"('Casteels\n (GK)', 'Wolfsburg')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Schäfer', 'Wolfsburg')","[0.03055556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Caligiuri', 'Wolfsburg')","[0.16111111 0.         0.         0.         0.         0.02941176
 0.05       0.         0.        ]"
"('Kruse', 'Wolfsburg')","[0.675      0.125      0.1875     0.25       0.         0.10294118
 0.         0.03571429 0.        ]"
"('Dost', 'Wolfsburg')","[0.05555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Träsch', 'Wolfsburg')","[0.52777778 0.05357143 0.0625     0.         0.08333333 0.07352941
 0.05       0.10714286 0.        ]"
"('Knoche', 'Wolfsburg')","[0.5        0.01785714 0.         0.         0.         0.
 0.125      0.         0.        ]"
"('Dieter Hecking', 'Wolfsburg(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Trapp\n (GK)', 'Paris')",[0.75   0.     0.     0.     0.     0.     0.0125 0.     0.    ]
"('Di María', 'Paris')","[0.77222222 0.16428571 0.2        0.1        0.13333333 0.37058824
 0.05       0.1        0.05714286]"
"('Aurier', 'Paris')","[0.42777778 0.         0.         0.         0.         0.02941176
 0.125      0.03571429 0.        ]"
"('Stambouli', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kurzawa', 'Paris')","[0.25       0.         0.         0.         0.08333333 0.02941176
 0.075      0.05357143 0.        ]"
"('Ongenda', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Augustin', 'Paris')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ascues', 'Wolfsburg')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Gaitán', 'Benfica')","[1.         0.11904762 0.16666667 0.33333333 0.22222222 0.35294118
 0.1        0.0952381  0.        ]"
"('Mitroglou', 'Benfica')","[0.81111111 0.07142857 0.05       0.2        0.         0.02352941
 0.02       0.2        0.08571429]"
"('Jonas', 'Benfica')","[0.80277778 0.         0.         0.25       0.         0.
 0.         0.03571429 0.03571429]"
"('Lisandro López', 'Benfica')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Aleix Vidal', 'Barcelona')","[0.13888889 0.         0.         0.         0.         0.01470588
 0.075      0.03571429 0.        ]"
"('Elneny', 'Arsenal')","[0.5        0.10714286 0.125      0.5        0.         0.05882353
 0.15       0.21428571 0.        ]"
"('Iwobi', 'Arsenal')","[0.77222222 0.03571429 0.         0.         0.         0.
 0.05       0.07142857 0.        ]"
"('Macey\n (GK)', 'Arsenal')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Campbell', 'Arsenal')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Khedira', 'Juventus')","[0.72857143 0.05612245 0.01785714 0.         0.04761905 0.01680672
 0.1        0.09183673 0.01020408]"
"('Hernanes', 'Juventus')","[0.74444444 0.03571429 0.         0.         0.         0.05882353
 0.15       0.07142857 0.        ]"
"('Alex Sandro', 'Juventus')","[1.         0.02857143 0.03333333 0.         0.02222222 0.19607843
 0.09333333 0.31428571 0.        ]"
"('Cuadrado', 'Juventus')","[0.54242424 0.07142857 0.09090909 0.09090909 0.03030303 0.09090909
 0.04545455 0.11688312 0.        ]"
"('Neto\n (GK)', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zaza', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Mandžukić', 'Juventus')","[0.85555556 0.09047619 0.21666667 0.2        0.02222222 0.03921569
 0.09333333 0.20952381 0.03809524]"
"('Asamoah', 'Juventus')","[0.1020202  0.         0.         0.         0.         0.01604278
 0.01818182 0.         0.        ]"
"('Rugani', 'Juventus')","[0.18181818 0.         0.         0.         0.         0.
 0.03636364 0.02597403 0.        ]"
"('Zoet\n (GK)', 'PSV')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Isimat-Mirin', 'PSV')","[0.63888889 0.         0.         0.         0.         0.
 0.15       0.07142857 0.        ]"
"('Moreno', 'PSV')","[1.         0.03571429 0.         0.         0.         0.
 0.25       0.14285714 0.        ]"
"('Arias', 'PSV')","[1.         0.07142857 0.         0.         0.         0.08823529
 0.4        0.21428571 0.        ]"
"('Bruma', 'PSV')","[1.         0.         0.         0.         0.         0.
 0.3        0.07142857 0.        ]"
"('Pröpper', 'PSV')","[1.         0.03571429 0.125      0.         0.         0.14705882
 0.15       0.28571429 0.        ]"
"('L. de Jong', 'PSV')","[0.2        0.07142857 0.25       0.         0.         0.
 0.1        0.71428571 0.        ]"
"('Willems', 'PSV')","[0.91666667 0.07142857 0.         0.         0.         0.20588235
 0.35       0.         0.        ]"
"('Guardado', 'PSV')","[0.91666667 0.03571429 0.         0.         0.         0.02941176
 0.35       0.14285714 0.        ]"
"('Locadia', 'PSV')","[0.96111111 0.07142857 0.125      0.         0.         0.05882353
 0.15       0.21428571 0.        ]"
"('Van Ginkel', 'PSV')","[1.         0.03571429 0.         0.         0.         0.05882353
 0.1        0.14285714 0.        ]"
"('Pasveer\n (GK)', 'PSV')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Schaars', 'PSV')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Narsingh', 'PSV')","[0.38888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Lestienne', 'PSV')","[0.03888889 0.07142857 0.         0.         0.         0.02941176
 0.         0.         0.        ]"
"('Jozefzoon', 'PSV')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Brenet', 'PSV')","[0.08333333 0.07142857 0.         0.         0.         0.05882353
 0.05       0.         0.        ]"
"('Hendrix', 'PSV')","[0.08333333 0.         0.         0.         0.         0.02941176
 0.05       0.         0.        ]"
"('Phillip Cocu', 'PSV(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('M. García', 'Man. City')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Shovkovskiy\n (GK)', 'Dynamo Kyiv')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Miguel Veloso', 'Dynamo Kyiv')","[0.82777778 0.10714286 0.         0.         0.         0.05882353
 0.2        0.35714286 0.        ]"
"('Antunes', 'Dynamo Kyiv')","[1.         0.         0.         0.         0.         0.11764706
 0.1        0.14285714 0.        ]"
"('Dragović', 'Dynamo Kyiv')",[1.  0.  0.  0.  0.  0.  0.1 0.  0. ]
"('Yarmolenko', 'Dynamo Kyiv')","[1.         0.10714286 0.25       0.         0.         0.32352941
 0.         0.07142857 0.07142857]"
"('Garmash', 'Dynamo Kyiv')","[0.52777778 0.         0.         0.         0.         0.
 0.05       0.21428571 0.        ]"
"('Gusev', 'Dynamo Kyiv')","[0.34444444 0.         0.         0.         0.         0.02941176
 0.1        0.         0.07142857]"
"('Vida', 'Dynamo Kyiv')","[1.         0.         0.         0.         0.         0.05882353
 0.25       0.21428571 0.        ]"
"('Buyalskiy', 'Dynamo Kyiv')","[1.         0.14285714 0.375      0.5        0.         0.02941176
 0.05       0.28571429 0.        ]"
"('Khacheridi', 'Dynamo Kyiv')",[1.   0.   0.   0.   0.   0.   0.25 0.   0.  ]
"('Teodorczyk', 'Dynamo Kyiv')","[0.51111111 0.07142857 0.         0.         0.         0.
 0.1        0.         0.14285714]"
"('Rudko\n (GK)', 'Dynamo Kyiv')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Danilo Silva', 'Dynamo Kyiv')","[0.36666667 0.03571429 0.         0.         0.         0.05882353
 0.05       0.07142857 0.07142857]"
