,Teams,Stadium,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls
183,Roma,"Anfield, Liverpool",2,14,6,5,3,1,7,3,50%,472,80.5084745762712,380,111.6 km,49,6,22,4,2,0,7
184,Bayern,"Football Arena Munich, Munich",0,17,6,9,2,0,9,5,51%,462,86.1471861471862,398,113.4 km,54,5,11,2,1,0,13
185,Sevilla,"Football Arena Munich, Munich",0,11,0,9,2,1,9,1,49%,497,83.9034205231388,417,114.0 km,37,1,22,2,3,1,12
186,Real Madrid,"Estadio Santiago Bernabéu, Madrid",1,19,6,8,5,1,7,4,58%,639,92.1752738654147,589,111.9 km,42,3,17,3,3,0,8
187,Juventus,"Estadio Santiago Bernabéu, Madrid",3,17,6,8,3,0,7,2,42%,384,85.6770833333333,329,120.3 km,38,6,22,5,6,1,20
188,Roma,"Stadio Olimpico, Rome",3,16,7,8,1,0,6,0,45%,379,73.0870712401056,277,107.7 km,44,1,16,2,2,0,19
189,Barcelona,"Stadio Olimpico, Rome",0,13,3,8,2,0,6,4,55%,496,77.8225806451613,386,102.5 km,53,4,21,1,3,0,10
190,Man. City,"City of Manchester Stadium, Manchester",1,20,3,5,12,1,9,8,64%,678,84.3657817109145,572,110.6 km,45,4,8,0,2,0,5
191,Liverpool,"City of Manchester Stadium, Manchester",2,8,3,5,0,0,9,0,36%,304,72.6973684210526,221,114.9 km,54,6,28,12,4,0,7
192,Liverpool,"Anfield, Liverpool",3,9,5,2,2,0,0,3,38%,390,74.8717948717949,292,120.8 km,59,4,33,5,1,0,6
193,Man. City,"Anfield, Liverpool",0,7,0,2,5,0,0,4,62%,752,86.7021276595745,652,115.5 km,54,4,23,2,4,0,10
194,Barcelona,"Camp Nou, Barcelona",4,19,9,6,4,1,10,3,56%,650,89.2307692307692,580,108.0 km,58,1,12,7,0,0,8
195,Roma,"Camp Nou, Barcelona",1,16,3,6,7,0,10,0,44%,455,81.5384615384615,371,113.0 km,52,7,10,4,2,0,8
196,Juventus,"Juventus Stadium, Turin",0,12,2,6,4,0,5,1,48%,519,89.0173410404624,462,109.5 km,37,6,8,0,3,1,14
197,Real Madrid,"Juventus Stadium, Turin",3,12,6,6,0,2,5,0,52%,663,90.9502262443439,603,108.7 km,39,5,14,4,2,0,16
198,Sevilla,"Estadio Ramón Sánchez-Pizjuán, Seville",1,8,4,3,1,0,3,1,42%,423,82.74231678487,350,116.0 km,39,2,14,3,2,0,12
199,Bayern,"Estadio Ramón Sánchez-Pizjuán, Seville",2,10,4,3,3,0,3,3,58%,578,87.8892733564014,508,111.6 km,38,5,11,1,3,0,9
200,Barcelona,"Camp Nou, Barcelona",3,8,7,1,0,0,4,1,53%,597,89.2797319932998,533,106.2 km,43,7,17,4,1,0,11
201,Chelsea,"Camp Nou, Barcelona",0,8,3,1,4,2,4,6,47%,471,82.5902335456476,389,110.0 km,49,6,3,0,3,0,17
202,Beşiktaş,"Beşiktaş Park, Istanbul",1,17,4,7,6,0,4,3,51%,479,83.2985386221294,399,100.5 km,53,3,9,0,2,0,18
203,Bayern,"Beşiktaş Park, Istanbul",3,13,6,7,0,0,4,1,49%,466,83.2618025751073,388,105.2 km,63,3,15,6,3,0,13
204,Man. United,"Old Trafford, Manchester",1,17,4,8,5,0,5,1,51%,519,79.383429672447,412,106.3 km,54,1,6,5,1,0,9
205,Sevilla,"Old Trafford, Manchester",2,19,6,8,5,0,5,1,49%,492,82.9268292682927,408,110.3 km,68,2,24,5,4,0,10
206,Roma,"Stadio Olimpico, Rome",1,10,3,4,3,0,2,5,40%,343,80.466472303207,276,112.2 km,41,11,18,2,2,0,14
207,Shakhtar Donetsk,"Stadio Olimpico, Rome",0,6,0,4,2,0,2,2,60%,589,86.5874363327674,510,109.4 km,38,1,21,3,3,1,11
208,Man. City,"City of Manchester Stadium, Manchester",1,7,3,0,4,0,5,3,72%,1096,92.5182481751825,1014,115.8 km,48,2,7,1,1,0,5
209,Basel,"City of Manchester Stadium, Manchester",2,4,3,0,1,0,5,5,28%,322,79.1925465838509,255,119.3 km,50,1,20,4,1,0,12
210,Tottenham,"Wembley Stadium, London",1,23,6,9,8,1,6,1,52%,526,85.361216730038,449,118.5 km,57,4,6,1,3,0,20
211,Juventus,"Wembley Stadium, London",2,13,3,9,1,0,6,3,48%,464,83.4051724137931,387,118.0 km,57,9,28,8,4,0,12
212,Liverpool,"Anfield, Liverpool",0,12,5,5,2,1,1,5,62%,819,87.4236874236874,716,115.1 km,54,5,4,2,1,0,11
213,Porto,"Anfield, Liverpool",0,8,1,5,2,0,1,1,38%,423,79.4326241134752,336,117.9 km,56,4,24,3,2,0,13
214,Paris,"Parc des Princes, Paris",1,8,2,3,3,0,7,5,50%,582,89.6907216494845,522,108.0 km,42,3,7,6,3,1,10
215,Real Madrid,"Parc des Princes, Paris",2,15,6,3,6,3,7,5,50%,600,89,534,112.2 km,63,8,14,3,2,0,12
216,Shakhtar Donetsk,"OSK Metalist Stadion, Kharkiv",2,14,7,3,4,0,8,2,52%,517,87.0406189555126,450,112.6 km,38,2,14,2,2,0,11
217,Roma,"OSK Metalist Stadion, Kharkiv",1,13,8,3,2,0,8,3,48%,497,86.5191146881288,430,115.1 km,33,1,13,4,1,0,9
218,Sevilla,"Estadio Ramón Sánchez-Pizjuán, Seville",0,25,8,9,8,0,12,2,54%,533,87.4296435272045,466,107.1 km,45,4,19,1,1,0,12
219,Man. United,"Estadio Ramón Sánchez-Pizjuán, Seville",0,11,1,9,1,0,12,1,46%,401,83.2917705735661,334,102.1 km,51,2,18,8,1,0,22
220,Bayern,"Football Arena Munich, Munich",5,34,13,13,8,1,6,3,65%,564,87.5886524822695,494,104.1 km,41,4,6,1,1,0,16
