Teams,Goals,Blocks,Possession,Passes,Passing Accuracy,Corners
Barca,2.14072531461716,2.5432203412056,59.6275413036346,649.525164365768,89.9203675210386,6.30129384994507
Napoli,0.64668108522892,2.92989671230316,54.5903837680817,555.635950744152,86.9184209464362,7.95438098907471
Bayern,2.56252902746201,3.63899195194244,59.5670640468597,678.82341170311,91.1528525176271,5.48943471908569
Chelsea,0.494689226150513,5.15249955654144,50.1220009326935,494.683311223984,85.0405612180676,4.86114597320557
City,0.916101366281509,3.18575835227966,50.1131994724274,537.010161697865,86.8811434931705,4.83267641067505
Madrid,0.723089188337326,2.98630911111832,53.4319846630096,568.944248974323,88.2270520386114,5.59804725646973
Juventus,1.78167733550072,2.70063418149948,44.6053133010864,404.940042674541,81.6850498689965,4.86008548736572
Lyon,0.450789794325829,4.17768287658691,43.3249945640564,388.013977408409,80.1862925370175,6.3353214263916
Atl̩tico,1,4,43,372,77,7
Juventus,1,3,47,452,84,6
Bayern,2,4,55,611,87,5
Atalanta,2,3,56,628,85,4
Leipzig,2,5,54,548,87,6
Barca,2,3,57,610,89,6
City,1,3,52,568,88,4
Paris,1,3,49,535,88,5
Juventus,2,3,46,451,83,5
Atl̩tico,1,3,42,320,78,6
Atalanta,3,2,48,477,83,7
Bayern,1,5,62,653,88,4
Barca,2,4,58,625,89,5
Leipzig,1,5,56,621,88,6
Paris,2,3,49,574,89,6
City,1,2,54,583,87,5
Barca,1,3,53,578,87,5
Atalanta,1,2,51,519,85,5
Juventus,2,2,46,436,83,6
Paris,1,5,54,570,88,5
Atalanta,3,2,49,471,82,5
Barca,2,3,57,627,84,5
Paris,2,4,55,599,89,5
Juventus,2,3,49,468,84,5
Juventus,2,1,46,469,84,5
Atalanta,1,4,48,406,81,4
